url_path,views_total,views_unique
/ayewo/ghost.sh/tree/github-repo-stats/ayewo/ghost.sh/ghrs-data/snapshots,6,1
/ayewo/ghost.sh/tree/github-repo-stats/ayewo/ghost.sh,4,1
/ayewo/ghost.sh/tree/github-repo-stats/ayewo/ghost.sh/ghrs-data,4,1
/ayewo/ghost.sh,3,2
/ayewo/ghost.sh/activity,2,1
/ayewo/ghost.sh/blob/github-repo-stats/ayewo/ghost.sh/ghrs-data/snapshots/2023-07-24_210411_top_paths_snapshot.csv,2,1
/ayewo/ghost.sh/blob/github-repo-stats/ayewo/ghost.sh/ghrs-data/snapshots/2023-07-24_230640_top_referrers_snapshot.csv,2,1
/ayewo/ghost.sh/blob/github-repo-stats/ayewo/ghost.sh/ghrs-data/snapshots/2023-07-25_230432_top_paths_snapshot.csv,2,1
/ayewo/ghost.sh/blob/github-repo-stats/ayewo/ghost.sh/ghrs-data/snapshots/2023-07-26_230632_top_paths_snapshot.csv,2,1
/ayewo/ghost.sh/blob/github-repo-stats/ayewo/ghost.sh/ghrs-data/views_clones_aggregate.csv,2,1
